"都府県
振興局","観測所
番号",種類,観測所名,カタカナ名,所在地,緯度,,経度,,"海面上の
高さ（ｍ）","観測開始
年月日"
,,,,,,度,分,度,分,,
新潟,54950,雪,能生,ノウ,糸魚川市大字平,37,5,138,1.4,55,昭55.11.7
新潟,54955,雪,関山,セキヤマ,妙高市大字関山字原田,36,56,138,13.3,350,昭55.11.7
新潟,54960,雪,湯沢,ユザワ,南魚沼郡湯沢町湯沢字中島川原,36,56.5,138,48.6,340,昭57.10.8
新潟,54965,雪,津南,ツナン,中魚沼郡津南町中深見乙,36,59.8,138,41,452,平元.11.1
富山,55900,雪,泊,トマリ,下新川郡朝日町東草野,36,57.1,137,33.1,13,昭55.10.29
富山,55905,雪,魚津,ウオヅ,魚津市六郎丸,36,49.3,137,25.7,48,昭55.10.29
富山,55907,官,伏木,フシキ,高岡市伏木古国府　伏木特別地域気象観測所,36,47.5,137,3.3,12,平9.3.3
富山,55908,官,富山,トヤマ,富山市石坂　富山地方気象台,36,42.5,137,12.1,9,平9.3.3
富山,55910,雪,砺波,トナミ,砺波市五郎丸,36,36.6,136,57.3,69,昭55.10.30
富山,55915,雪,氷見,ヒミ,氷見市七分一,36,51.8,136,57.6,7,平元.11.1
富山,55920,雪,猪谷,イノタニ,富山市猪谷,36,28.4,137,14.2,215,昭55.10.30
石川,56900,雪,珠洲,スズ,珠洲市正院町正院,37,26.8,137,17.2,4,昭55.12.1
石川,56903,官,輪島,ワジマ,輪島市鳳至町畠田　輪島特別地域気象観測所,37,23.4,136,53.7,5,平9.3.3
石川,56905,雪,七尾,ナナオ,七尾市万行町43の部,37,1.8,136,59.5,58,昭55.12.1
石川,56907,官,金沢,カナザワ,金沢市西念　金沢地方気象台,36,35.3,136,38,6,平9.3.3
石川,56910,雪,白山河内,ハクサンカワチ,白山市河内町福岡,36,23.8,136,37.2,136,昭55.12.1
石川,56915,雪,加賀菅谷,カガスガタニ,加賀市山中温泉菅谷町,36,13.8,136,21.7,83,昭55.12.1
福井,57900,雪,九頭竜,クズリュウ,大野市貝皿,35,54.5,136,40.1,436,昭57.10.15
福井,57903,官,福井,フクイ,福井市豊島　福井地方気象台,36,3.3,136,13.3,9,平9.3.3
福井,57905,雪,大野,オオノ,大野市93字蛇塚,35,58.3,136,29.8,182,昭55.10.30
福井,57910,雪,今庄,イマジョウ,南条郡南越前町今庄,35,46,136,12,128,昭55.10.30
福井,57913,官,敦賀,ツルガ,敦賀市松栄町　敦賀特別地域気象観測所,35,39.2,136,3.7,2,平10.3.2
福井,57915,雪,小浜,オバマ,小浜市遠敷,35,29,135,46.9,10,昭55.10.29
福井,57920,雪,武生,タケフ,越前市村国,35,54.3,136,10.4,32,平元.11.1
滋賀,60900,雪,柳ケ瀬,ヤナガセ,長浜市余呉町柳ケ瀬字大門,35,34.9,136,11.3,220,昭56.11.9
滋賀,60905,雪,今津,イマヅ,高島市今津町弘川,35,24.7,136,1.7,88,昭56.11.9
宮城,34917,官,仙台,センダイ,仙台市宮城野区五輪　仙台管区気象台,38,15.7,140,53.8,39,平10.12.24
宮城,34920,雪,白石,シロイシ,白石市福岡長袋字湯殿山,38,0.9,140,36.7,86,昭59.11.8
山形,35900,雪,金山,カネヤマ,最上郡金山町金山字本町,38,52.7,140,19.9,170,昭57.10.13
山形,35905,雪,狩川,カリカワ,東田川郡庄内町狩川字矢倉,38,48,139,58.4,17,昭54.11.2
山形,35907,官,新庄,シンジョウ,新庄市東谷地田町　新庄特別地域気象観測所,38,45.4,140,18.7,105,平10.3.2
山形,35910,雪,櫛引,クシビキ,鶴岡市桂荒俣字上桂,38,40.3,139,50.9,33,昭57.10.14
山形,35915,雪,尾花沢,オバナザワ,尾花沢市新町,38,36.5,140,24.7,106,昭54.10.31
山形,35920,雪,肘折,ヒジオリ,最上郡大蔵村南山,38,36.4,140,9.8,330,昭57.10.13
山形,35925,雪,大井沢,オオイサワ,西村山郡西川町大井沢字中村,38,23.4,139,59.6,440,昭54.11.5
山形,35927,官,山形,ヤマガタ,山形市緑町　山形地方気象台,38,15.3,140,20.7,153,平10.3.2
山形,35930,雪,長井,ナガイ,長井市平山,38,6.3,140,0.9,210,昭54.11.13
山形,35950,雪,向町,ムカイマチ,最上郡最上町向町,38,45.5,140,31,212,昭58.10.13
山形,35935,雪,小国,オグニ,西置賜郡小国町増岡字下林,38,4.7,139,44.1,140,昭54.11.7
山形,35940,雪,米沢,ヨネザワ,米沢市アルカディア,37,54.7,140,8.6,245,昭54.11.8
山形,35945,雪,左沢,アテラザワ,西村山郡大江町本郷字下夕原己,38,22.2,140,11.5,133,昭57.10.12
滋賀,60911,雪,米原,マイバラ,米原市朝日字尻屋,35,23,136,20.6,147,平13.3.30
滋賀,60915,官,彦根,ヒコネ,彦根市城町　彦根地方気象台,35,16.5,136,14.6,87,平13.3.1
京都,61900,雪,峰山,ミネヤマ,京丹後市峰山町荒山,35,37.1,135,4.3,23,昭56.11.21
京都,61905,官,舞鶴,マイヅル,舞鶴市字下福井　舞鶴特別地域気象観測所,35,27,135,19,2,平13.3.1
京都,61910,雪,美山,ミヤマ,南丹市美山町静原桧野,35,16.5,135,33,200,昭56.11.21
京都,61915,官,京都,キョウト,京都市中京区西ノ京笠殿町　京都地方気象台,35,0.8,135,43.9,41,平13.3.1
大阪,62900,官,大阪,オオサカ,大阪市中央区大手前　大阪管区気象台,34,40.9,135,31.1,23,平23.4.1
兵庫,63900,雪,香住,カスミ,美方郡香美町香住区森,35,37.5,134,37.6,5,昭56.11.9
兵庫,63905,官,豊岡,トヨオカ,豊岡市桜町　豊岡特別地域気象観測所,35,32.1,134,49.3,3,平13.3.1
兵庫,63911,雪,兎和野高原,ウワノコウゲン,美方郡香美町村岡区宿字菟臥野,35,25.9,134,35,540,平17.12.14
兵庫,63915,雪,和田山,ワダヤマ,朝来市和田山町枚田,35,19.4,134,50.9,80,昭56.11.9
兵庫,63950,官,神戸,コウベ,神戸市中央区脇浜海岸通　神戸地方気象台,34,41.8,135,12.7,5,平24.12.18
奈良,64900,官,奈良,ナラ,奈良市半田開町　奈良地方気象台,34,41.6,135,49.6,104,平24.12.18
和歌山,65900,官,和歌山,ワカヤマ,和歌山市男野芝丁　和歌山地方気象台,34,13.7,135,9.8,14,平24.12.18
岡山,66900,雪,上長田,カミナガタ,真庭市蒜山上長田,35,17.8,133,43.5,430,平2.11.1
岡山,66910,雪,千屋,チヤ,新見市千屋,35,6.2,133,26.1,525,平2.11.1
岡山,66915,雪,今岡,イマオカ,美作市今岡,35,5.9,134,19.5,207,平3.12.1
岡山,66920,官,津山,ツヤマ,津山市林田　津山特別地域気象観測所,35,3.8,134,0.5,146,平14.3.1
岡山,66930,官,岡山,オカヤマ,岡山市北区津島中　岡山地方気象台,34,41.1,133,55.5,5,平23.12.20
広島,67900,雪,高野,タカノ,庄原市高野町新市,35,2,132,54.1,570,平2.11.1
広島,67905,雪,八幡,ヤワタ,山県郡北広島町東八幡原,34,42.5,132,10.4,774,平2.11.1
広島,67910,雪,大朝,オオアサ,山県郡北広島町大朝字大坪,34,46.1,132,27.8,399,平2.11.1
広島,67920,官,広島,ヒロシマ,広島市中区上八丁堀　広島地方気象台,34,23.9,132,27.7,4,平24.3.14
島根,68900,雪,横田,ヨコタ,仁多郡奥出雲町稲原,35,10.4,133,6.2,369,昭56.11.17
島根,68905,雪,赤名,アカナ,飯石郡飯南町下赤名,35,0.1,132,42.7,444,昭56.11.17
島根,68910,雪,瑞穂,ミズホ,邑智郡邑南町淀原,34,51.2,132,31.8,327,昭59.11.15
島根,68915,雪,弥栄,ヤサカ,浜田市弥栄町長安本郷,34,46.6,132,6.5,380,昭59.11.15
島根,68955,官,西郷,サイゴウ,隠岐郡隠岐の島町西町大城ノ一　西郷特別地域気象観測所,36,12.2,133,20,27,平20.10.1
島根,68960,官,松江,マツエ,松江市西津田　松江地方気象台,35,27.4,133,3.9,17,平13.3.1
鳥取,69900,雪,倉吉,クラヨシ,倉吉市大塚字隈ヶ坪,35,28.4,133,50.3,8,昭56.11.8
鳥取,69905,雪,大山,ダイセン,西伯郡大山町大山字立の坂上,35,23.6,133,32.2,875,昭56.11.8
鳥取,69910,官,境,サカイ,境港市東本町　境特別地域気象観測所,35,32.6,133,14.1,2,平15.3.1
鳥取,69915,雪,智頭,チズ,八頭郡智頭町智頭沖代,35,15.8,134,14.4,182,昭56.11.8
鳥取,69930,官,米子,ヨナゴ,米子市博労町　米子特別地域気象観測所,35,26,133,20.3,7,平13.3.1
鳥取,69940,官,鳥取,トットリ,鳥取市吉方　鳥取地方気象台,35,29.2,134,14.3,7,平13.3.1
徳島,71900,官,徳島,トクシマ,徳島市大和町　徳島地方気象台,34,4,134,34.4,2,平25.3.5
香川,72900,官,高松,タカマツ,高松市伏石町　高松地方気象台,34,19,134,3.2,9,平23.12.20
愛媛,73900,官,松山,マツヤマ,松山市北持田町　松山地方気象台,33,50.6,132,46.6,32,平24.2.1
高知,74900,官,高知,コウチ,高知市比島町　高知地方気象台,33,34,133,32.9,1,平24.12.18
山口,81900,官,山口,ヤマグチ,山口市前町　山口特別地域気象観測所,34,9.7,131,27.7,18,平22.10.1
山口,81905,官,下関,シモノセキ,下関市竹崎町　下関地方気象台,33,56.9,130,55.5,3,平23.12.20
福岡,82900,官,福岡,フクオカ,福岡市中央区大濠　福岡管区気象台,33,34.9,130,22.5,3,平23.4.1
大分,83900,官,大分,オオイタ,大分市長浜町　大分地方気象台,33,14.1,131,37.1,5,平24.12.18
長崎,84900,官,長崎,ナガサキ,長崎市南山手町　長崎地方気象台,32,44,129,52,27,平25.3.5
佐賀,85900,官,佐賀,サガ,佐賀市駅前中央　佐賀地方気象台,33,15.9,130,18.3,6,平25.1.22
熊本,86900,官,阿蘇山,アソサン,阿蘇郡南阿蘇村大字中松字古坊中　阿蘇山特別地域気象観測所,32,52.8,131,4.4,1142,平12.10.10
熊本,86901,雪,南阿蘇,ミナミアソ,阿蘇郡南阿蘇村河陰,32,49.9,131,0.8,393,平27.1.16
熊本,86905,官,熊本,クマモト,熊本市中央区京町　熊本地方気象台,32,48.8,130,42.4,38,平24.12.18
鹿児島,88905,官,鹿児島,カゴシマ,鹿児島市東郡元町　鹿児島地方気象台,31,33.3,130,32.8,4,平25.1.22
