"都府県
振興局","観測所
番号",種類,観測所名,カタカナ名,所在地,緯度,,経度,,"海面上の
高さ（ｍ）","観測開始
年月日"
,,,,,,度,分,度,分,,
上川,12930,雪,層雲峡,ソウウンキョウ,上川郡上川町層雲峡高山,43,45.2,142,55.8,540,昭59.10.9
上川,12932,官,東神楽,ヒガシカグラ,上川郡東神楽町東2線　旭川航空気象観測所,43,40.2,142,26.8,211,平18.11.29
上川,12935,雪,美瑛,ビエイ,上川郡美瑛町原野5線,43,35.3,142,29.6,250,昭58.10.11
上川,12940,雪,富良野,フラノ,富良野市東町,43,20,142,24,174,昭54.11.6
上川,12945,雪,幾寅,イクトラ,空知郡南富良野町幾寅,43,10.1,142,34.1,350,昭57.10.13
上川,12950,雪,占冠,シムカップ,勇払郡占冠村シムカップ,42,58.7,142,23.7,332,昭57.10.13
上川,15900,雪,朱鞠内,シュマリナイ,雨竜郡幌加内町朱鞠内,44,16.9,142,9.7,255,昭56.10.15
上川,15905,雪,幌加内,ホロカナイ,雨竜郡幌加内町幌加内,44,0.6,142,9.6,159,昭56.10.14
留萌,13900,雪,天塩,テシオ,天塩郡天塩町川口,44,53.6,141,45.7,9,昭57.10.13
留萌,13905,雪,初山別,ショサンベツ,苫前郡初山別村初山別,44,31.4,141,46.2,27,昭57.10.13
留萌,13907,官,羽幌,ハボロ,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,141,42,8,平11.3.1
留萌,13910,雪,古丹別,コタンベツ,苫前郡苫前町古丹別,44,15.9,141,43.3,15,昭58.10.6
留萌,13915,官,留萌,ルモイ,留萌市大町　留萌特別地域気象観測所,43,56.7,141,37.9,24,平11.3.1
留萌,13920,雪,幌糠,ホロヌカ,留萌市幌糠町,43,51.2,141,45.6,20,昭57.10.13
石狩,14900,雪,厚田,アツタ,石狩市厚田区別狩,43,23.8,141,26.2,5,昭56.10.12
石狩,14905,雪,石狩,イシカリ,石狩市生振,43,11.6,141,22.2,5,昭62.10.22
